int(self),nb_people,self.times_found,self.times_found_walking,self.times_found_driving,self.times_found_resting
0,50,0,0,0,0
1,50,1,1,0,0
2,50,0,0,0,0
3,50,0,0,0,0
4,50,0,0,0,0
5,50,0,0,0,0
6,50,0,0,0,0
7,50,0,0,0,0
8,50,0,0,0,0
9,50,0,0,0,0
10,70,0,0,0,0
11,70,0,0,0,0
12,70,0,0,0,0
13,70,0,0,0,0
14,70,0,0,0,0
15,70,0,0,0,0
16,70,0,0,0,0
17,70,0,0,0,0
18,70,2,0,0,2
19,70,0,0,0,0
20,90,1,1,0,0
21,90,0,0,0,0
22,90,0,0,0,0
23,90,0,0,0,0
24,90,0,0,0,0
25,90,0,0,0,0
26,90,0,0,0,0
27,90,0,0,0,0
28,90,0,0,0,0
29,90,0,0,0,0
30,110,1,1,0,0
31,110,0,0,0,0
32,110,0,0,0,0
33,110,0,0,0,0
34,110,0,0,0,0
35,110,1,1,0,0
36,110,0,0,0,0
37,110,0,0,0,0
38,110,3,1,0,2
39,110,0,0,0,0
40,130,0,0,0,0
41,130,0,0,0,0
42,130,3,0,0,3
43,130,0,0,0,0
44,130,0,0,0,0
45,130,0,0,0,0
46,130,0,0,0,0
47,130,0,0,0,0
48,130,0,0,0,0
49,130,1,1,0,0
50,150,0,0,0,0
51,150,1,0,0,1
52,150,0,0,0,0
53,150,0,0,0,0
54,150,0,0,0,0
55,150,0,0,0,0
56,150,0,0,0,0
57,150,2,0,1,1
58,150,0,0,0,0
59,150,0,0,0,0
60,170,0,0,0,0
61,170,0,0,0,0
62,170,2,0,0,2
63,170,1,1,0,0
64,170,0,0,0,0
65,170,0,0,0,0
66,170,1,1,0,0
67,170,0,0,0,0
68,170,0,0,0,0
69,170,0,0,0,0
70,190,0,0,0,0
71,190,0,0,0,0
72,190,0,0,0,0
73,190,0,0,0,0
74,190,0,0,0,0
75,190,0,0,0,0
76,190,0,0,0,0
77,190,0,0,0,0
78,190,2,0,0,2
79,190,0,0,0,0
80,210,0,0,0,0
81,210,2,0,0,2
82,210,0,0,0,0
83,210,1,1,0,0
84,210,0,0,0,0
85,210,0,0,0,0
86,210,1,1,0,0
87,210,2,0,2,0
88,210,0,0,0,0
89,210,0,0,0,0
90,230,0,0,0,0
91,230,0,0,0,0
92,230,0,0,0,0
93,230,2,0,0,2
94,230,0,0,0,0
95,230,1,1,0,0
96,230,1,1,0,0
97,230,0,0,0,0
98,230,0,0,0,0
99,230,4,1,1,2
100,250,0,0,0,0
101,250,2,2,0,0
102,250,0,0,0,0
103,250,0,0,0,0
104,250,2,2,0,0
105,250,0,0,0,0
106,250,0,0,0,0
107,250,0,0,0,0
108,250,0,0,0,0
109,250,3,0,0,3
110,270,0,0,0,0
111,270,0,0,0,0
112,270,0,0,0,0
113,270,3,0,0,3
114,270,2,2,0,0
115,270,0,0,0,0
116,270,2,1,0,1
117,270,1,1,0,0
118,270,3,3,0,0
119,270,0,0,0,0
120,290,3,0,0,3
121,290,1,1,0,0
122,290,1,1,0,0
123,290,0,0,0,0
124,290,2,0,0,2
125,290,1,1,0,0
126,290,1,0,1,0
127,290,4,0,1,3
128,290,2,2,0,0
129,290,0,0,0,0
130,310,1,0,1,0
131,310,0,0,0,0
132,310,0,0,0,0
133,310,2,2,0,0
134,310,0,0,0,0
135,310,0,0,0,0
136,310,1,1,0,0
137,310,0,0,0,0
138,310,2,1,0,1
139,310,1,0,0,1
140,330,1,1,0,0
141,330,0,0,0,0
142,330,2,0,0,2
143,330,0,0,0,0
144,330,5,2,0,3
145,330,3,0,0,3
146,330,2,1,0,1
147,330,2,2,0,0
148,330,0,0,0,0
149,330,0,0,0,0
150,350,0,0,0,0
151,350,6,1,0,5
152,350,0,0,0,0
153,350,0,0,0,0
154,350,1,1,0,0
155,350,1,1,0,0
156,350,0,0,0,0
157,350,0,0,0,0
158,350,0,0,0,0
159,350,1,0,0,1
160,370,0,0,0,0
161,370,0,0,0,0
162,370,0,0,0,0
163,370,1,0,1,0
164,370,4,1,0,3
165,370,0,0,0,0
166,370,1,1,0,0
167,370,1,0,0,1
168,370,1,0,1,0
169,370,0,0,0,0
170,390,0,0,0,0
171,390,1,1,0,0
