int(self);nb_people;self.time / #day;self.time / #minute
0;5;29.074.305.555.555.500;41867.0
1;5;30.054.166.666.666.600;43278.0
2;5;17.839.583.333.333.300;25689.0
3;5;0.6597222222222222;950.0
4;5;10.090.277.777.777.700;1453.0
5;5;4.100.069.444.444.440;59041.0
6;5;39.097.222.222.222.200;5630.0
7;5;78.381.944.444.444.400;11287.0
8;5;4.100.069.444.444.440;59041.0
9;5;4.100.069.444.444.440;59041.0
10;10;0.8173611111111111;1177.0
11;10;8.014.583.333.333.330;11541.0
12;10;3.848.611.111.111.110;5542.0
13;10;15.052.777.777.777.700;21676.0
14;10;2.187.361.111.111.110;31498.0
15;10;178.125;25650.0
16;10;0.90625;1305.0
17;10;0.8826388888888889;1271.0
18;10;2.477.777.777.777.770;35680.0
19;10;18.479.166.666.666.600;2661.0
20;15;21.740.972.222.222.200;31307.0
21;15;7.889.583.333.333.330;11361.0
22;15;3.702.777.777.777.770;5332.0
23;15;669.375;9639.0
24;15;0.8298611111111112;1195.0
25;15;31.823.611.111.111.100;45826.0
26;15;3.847.916.666.666.660;5541.0
27;15;4.100.069.444.444.440;59041.0
28;15;14.884.027.777.777.700;21433.0
29;15;3.847.916.666.666.660;5541.0
30;20;8.852.777.777.777.770;12748.0
31;20;15.950.694.444.444.400;22969.0
32;20;29.625;4266.0
33;20;17.375;2502.0
34;20;9.682.638.888.888.880;13943.0
35;20;19.777.777.777.777.700;2848.0
36;20;0.9965277777777778;1435.0
37;20;13.809.722.222.222.200;19886.0
38;20;0.9145833333333333;1317.0
39;20;8.653.472.222.222.220;12461.0
40;25;6.747.916.666.666.660;9717.0
41;25;39.506.944.444.444.400;5689.0
42;25;0.8875;1278.0
43;25;1.836.111.111.111.110;2644.0
44;25;7.783.333.333.333.330;11208.0
45;25;0.6347222222222222;914.0
46;25;29.159.722.222.222.200;4199.0
47;25;299.375;4311.0
48;25;0.9381944444444444;1351.0
49;25;18.680.555.555.555.500;2690.0
50;30;1.804.861.111.111.110;2599.0
