int(self),nb_people,self.times_found,self.times_found_walking,self.times_found_driving,self.times_found_resting
0,5,1,1,0,0
1,5,0,0,0,0
2,5,0,0,0,0
3,5,0,0,0,0
4,5,1,1,0,0
5,5,0,0,0,0
6,5,0,0,0,0
7,5,0,0,0,0
8,5,0,0,0,0
9,5,0,0,0,0
10,10,1,0,0,1
11,10,0,0,0,0
12,10,0,0,0,0
13,10,0,0,0,0
14,10,0,0,0,0
15,10,1,0,0,1
16,10,3,1,0,2
17,10,0,0,0,0
18,10,0,0,0,0
19,10,0,0,0,0
20,15,0,0,0,0
21,15,0,0,0,0
22,15,0,0,0,0
23,15,1,1,0,0
24,15,0,0,0,0
25,15,1,1,0,0
26,15,0,0,0,0
27,15,0,0,0,0
28,15,0,0,0,0
29,15,1,1,0,0
30,20,0,0,0,0
31,20,1,1,0,0
32,20,1,1,0,0
33,20,1,1,0,0
34,20,1,1,0,0
35,20,0,0,0,0
36,20,3,1,0,2
37,20,2,1,0,1
38,20,0,0,0,0
39,20,1,1,0,0
40,25,2,2,0,0
41,25,11,6,0,5
42,25,0,0,0,0
43,25,2,1,0,1
44,25,1,1,0,0
45,25,0,0,0,0
46,25,3,1,0,2
47,25,3,1,0,2
48,25,0,0,0,0
49,25,0,0,0,0
50,30,1,1,0,0
51,30,1,1,0,0
52,30,0,0,0,0
53,30,1,0,0,1
54,30,0,0,0,0
55,30,2,0,0,2
56,30,5,1,0,4
57,30,2,0,0,2
58,30,6,2,0,4
59,30,0,0,0,0
60,35,3,2,0,1
61,35,0,0,0,0
62,35,0,0,0,0
63,35,7,4,0,3
64,35,1,1,0,0
65,35,0,0,0,0
66,35,3,0,0,3
67,35,1,1,0,0
68,35,1,1,0,0
69,35,1,1,0,0
70,40,0,0,0,0
71,40,3,0,0,3
72,40,4,2,0,2
73,40,3,0,0,3
74,40,5,2,0,3
75,40,1,0,0,1
76,40,4,1,0,3
77,40,0,0,0,0
78,40,12,8,0,4
79,40,2,1,0,1
80,45,7,5,0,2
81,45,4,3,0,1
82,45,90,90,0,0
83,45,5,1,0,4
84,45,3,1,0,2
85,45,3,1,0,2
86,45,2,0,0,2
87,45,1,0,0,1
88,45,2,1,0,1
89,45,2,0,0,2
90,50,13,0,9,4
91,50,20,0,20,0
92,50,9,2,0,7
93,50,6,2,0,4
94,50,1,1,0,0
95,50,3,2,0,1
96,50,4,1,0,3
97,50,74,70,0,4
98,50,5,2,0,3
99,50,0,0,0,0
100,55,8,2,0,6
101,55,1,1,0,0
102,55,3,1,0,2
103,55,0,0,0,0
104,55,0,0,0,0
105,55,6,0,0,6
106,55,0,0,0,0
107,55,11,3,0,8
108,55,3,2,0,1
109,55,4,1,0,3
110,60,8,1,0,7
111,60,0,0,0,0
112,60,78,78,0,0
113,60,6,3,0,3
114,60,8,3,0,5
115,60,1,0,0,1
116,60,7,2,0,5
117,60,4,0,1,3
118,60,9,3,0,6
119,60,8,3,0,5
120,65,4,0,0,4
121,65,1,1,0,0
122,65,0,0,0,0
123,65,4,3,0,1
124,65,1,1,0,0
125,65,11,3,0,8
126,65,8,2,1,5
127,65,5,2,0,3
128,65,3,1,0,2
129,65,9,2,0,7
130,70,6,3,0,3
131,70,0,0,0,0
132,70,75,68,0,7
133,70,1,0,0,1
134,70,6,4,0,2
135,70,4,1,0,3
136,70,5,3,0,2
137,70,8,1,0,7
138,70,3,0,0,3
139,70,0,0,0,0
140,75,1,1,0,0
141,75,4,1,0,3
142,75,4,2,0,2
143,75,2,0,0,2
144,75,2,2,0,0
145,75,6,4,0,2
146,75,4,1,0,3
147,75,2,2,0,0
148,75,0,0,0,0
149,75,6,0,0,6
150,80,9,2,0,7
151,80,6,3,1,2
152,80,1143,1140,0,3
153,80,21,14,1,6
154,80,2,0,0,2
155,80,2,2,0,0
156,80,4,1,0,3
157,80,56,54,0,2
158,80,22,16,0,6
159,80,3,1,0,2
160,85,7,2,0,5
161,85,0,0,0,0
162,85,4,1,0,3
163,85,1,0,0,1
164,85,0,0,0,0
165,85,24,13,0,11
166,85,2,2,0,0
167,85,5,0,0,5
168,85,13,1,0,12
169,85,4,1,0,3
170,90,5,2,0,3
171,90,4,1,0,3
172,90,3,1,0,2
173,90,6,2,0,4
174,90,5,4,0,1
175,90,2,2,0,0
176,90,7,4,0,3
177,90,75,73,1,1
178,90,3,2,0,1
179,90,8,2,0,6
180,95,0,0,0,0
181,95,2,1,0,1
182,95,5,2,0,3
183,95,2,1,0,1
184,95,4,1,1,2
185,95,6,1,0,5
186,95,9,2,0,7
187,95,7,2,0,5
188,95,3,2,0,1
189,95,2,2,0,0
190,100,6,2,0,4
191,100,3,1,0,2
192,100,5,2,0,3
193,100,10,5,0,5
194,100,10,3,0,7
195,100,16,6,0,10
196,100,18,2,15,1
197,100,5,2,0,3
198,100,8,3,0,5
199,100,8,2,0,6
200,105,3,0,0,3
201,105,6,2,0,4
202,105,156,153,0,3
203,105,10,4,0,6
204,105,12,2,0,10
205,105,14,6,0,8
206,105,11,4,1,6
207,105,1151,1148,0,3
208,105,2,1,0,1
209,105,6,2,0,4
210,110,4,2,0,2
211,110,13,3,0,10
212,110,5,3,0,2
213,110,4,1,0,3
214,110,2,2,0,0
215,110,4,1,0,3
216,110,6,2,0,4
217,110,6,2,0,4
218,110,5,2,0,3
219,110,4,1,0,3
220,115,4,3,0,1
221,115,6,2,0,4
222,115,4,3,0,1
223,115,10,5,0,5
224,115,1,0,0,1
225,115,5,0,0,5
226,115,27,4,18,5
227,115,8,4,0,4
228,115,12,6,0,6
229,115,6,0,0,6
230,120,11,1,0,10
231,120,2,1,1,0
232,120,9,1,0,8
233,120,9,1,0,8
234,120,14,5,0,9
235,120,17,4,0,13
236,120,1,1,0,0
237,120,5,1,0,4
238,120,4,1,0,3
239,120,10,0,1,9
240,125,17,7,0,10
241,125,7,2,0,5
242,125,93,74,0,19
243,125,4,3,0,1
244,125,5,1,1,3
245,125,10,4,1,5
246,125,3,1,0,2
247,125,39,17,1,21
248,125,1,1,0,0
249,125,12,6,0,6
250,130,4,1,1,2
251,130,8,5,0,3
252,130,4,1,0,3
253,130,5,0,1,4
254,130,4,2,0,2
255,130,9,3,0,6
256,130,7,1,0,6
257,130,4,1,0,3
258,130,3,1,0,2
259,130,7,3,0,4
260,135,6,2,1,3
261,135,11,3,1,7
262,135,18,4,0,14
263,135,35,19,0,16
264,135,9,3,1,5
265,135,17,5,1,11
266,135,9,4,0,5
267,135,9,4,1,4
268,135,11,6,0,5
269,135,17,2,0,15
270,140,3,1,0,2
271,140,19,10,0,9
272,140,12,5,0,7
273,140,12,4,0,8
274,140,3,1,0,2
275,140,18,2,15,1
276,140,13,4,0,9
277,140,27,9,0,18
278,140,2,2,0,0
